도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
플라톤 국가,플라톤 박문재,현대지성,년 월 일,16,인문,"['고대', '그리스', '철학자', '소크라테스', '제자', '이자', '아리스토텔레스', '스승', '서양', '철학', '지대', '영향', '끼쳤다', '명문', '귀족', '집안', '태어나', '세', '소크라테스', '제자', '되었다', '소크라테스', '독배', '마셨을', '나이', '세었다', '후', '여러', '곳', '여행', '하며', '견문', '넓히고', '기원전', '철학', '중심', '종합', '아카데메이아', '세웠다', '소크라테스', '사상', '철학', '담긴', '글', '저술', '하며', '안', '철학', '담았다', '파이돈', '크리톤', '향연', '국가', '타고', '라스', '편의', '저서', '남겼는데', '소크라테스', '변명', '제외', '대화', '체', '형식', '되어', '대화', '편이', '라', '불린다', '소크라테스', '철학', '저술', '활동', '남기지', '않았기에', '사상', '엿보려면', '플라톤', '대화', '편', '의존', '해야', '초기', '대화', '편', '소크라테스', '철학', '짙게', '느낄', '있으며', '후기', '갈수록', '소크라테스', '철학', '근간', '플라톤', '철학', '나타난다']","['진실하고', '올바른', '삶', '진정한', '이득', '있는가', '플라톤', '이해', '관문', '이자', '서양철학', '모판', '필독', '서', '정의롭', '게', '사는', '게', '불의', '사는', '멋진', '삶', '이야', '말', '동의', '일상', '쉽게', '실천', '하지는', '못', '현실', '에선', '불의', '의인', '행복해', '보이', '별문제', '없이', '잘', '살기', '플라톤', '국가', '이하', '국가', '분량', '많고', '논쟁', '복잡해', '보이', '현실', '정의', '로운', '자가', '불이익', '당하는데', '정의', '로운', '불의', '행복한지', '따져', '보자는', '글', '라', '아콘', '제안', '소크라테스', '치밀하고', '철저하게', '논', '변하면서', '틀', '안', '모든', '논의', '흘러간다', '플라톤', '많은', '대화', '편', '국가', '소크라테스', '화', '되어', '날', '저녁', '지인', '대화', '나누는', '형식', '되어', '정의', '행', '하여', '얻는', '보상', '아니라', '정의', '행', '좋고', '행복한', '이유', '다양한', '관점', '살펴보며', '문제', '풀기', '위해', '정의', '관점', '국가', '큰', '그림', '개인', '삶', '진단', '가장', '좋은', '국가', '왕도', '중이', '명예', '과두정', '민주', '정', '참주정', '변해가는지', '설명', '과정', '서양철학', '사의', '유명한', '주제', '빠짐', '없이', '등장', '국가', '기원', '구성원', '교육', '목적', '방법', '철학자', '역할', '이데아론', '정치', '체제', '변천', '영혼', '불멸성', '두루', '다루면서', '국가', '개인', '관계', '여러', '각도', '사유', '하도록', '이끈다', '특히', '민주', '정이', '최악', '국가', '참주정', '독재', '국가', '변해가는', '과정', '묘사', '대목', '소크라테스', '오늘날', '세계', '상황', '직접', '보면서', '묘사', '듯', '착각', '불러일으킨다', '아테네', '민주', '정치가', '쇠퇴', '기', '접어', '들며', '사회', '정치', '혼란', '가운데', '플라톤', '국가', '대한', '열망', '키워', '갔고', '국가', '고스', '란', '히', '반영', '되어', '국가', '지난', '정치학', '철학', '문학', '교육학', '서양', '문명', '모든', '영역', '다양한', '논의', '위', '토대', '제공', '해온', '독보', '문헌', '현대', '지성', '클래식', '번', '째', '국가', '펴내면서', '그리스어', '원전', '직접', '옮겼을', '뿐', '아니라', '사변', '복잡다단한', '원문', '한글', '판', '독자', '막힘', '없이', '읽을', '있도록', '세', '심히', '글', '다듬었다', '본문', '궁금한', '다시', '찾지', '않아도', '되게끔', '개', '친절한', '각주', '달았으며', '숲', '나무', '균형', '있게', '볼', '있도록', '해제', '제공', '방대한', '독서', '과정', '길', '잃지', '않고', '참된', '실재', '향', '나아가는', '플라톤', '철학', '진수', '맛볼', '있도록']"
맥베스,윌리엄 셰익스피어,민음사,년 월 일,12,소설시희곡,"['영국', '최고', '시인', '이자', '극작가', '연월일', '존', '셰익스피어', '메리', '아든', '사이', '태어났다', '셰익스피어', '아름다운', '숲', '계곡', '둘러싸인', '인구', '명', '작은', '마을', '영국', '잉글랜드', '워릭셔', '주', '스트림', '퍼드', '폰', '존', '부부', '첫', '아들', '남매', '태어났고', '곳', '다녔다', '셰익스피어', '주로', '성경', '고전', '읽기와', '쓰기', '배웠고', '라틴어', '격언', '암송', '곤', '셰익스피어', '입학', '문법', '문법', '논리학', '수사학', '문학', '배웠는데', '특히', '성경', '오비디우스', '변신', '셰익스피어', '상상력', '원천', '된다', '셰익스피어', '그리스어', '배웠지만', '그리', '신통하지는', '않았다', '당시', '대학', '교육', '받은', '학식', '작가', '대학', '재사', '라고', '불렀는데', '셰익스피어', '과는', '달리', '대학', '교육', '전혀', '받지', '못', '그럼에도', '불구', '타고난', '언어', '구사', '능력', '무대', '예술', '대한', '천', '부적', '감각', '다양한', '경험', '대한', '심오한', '이해력', '위대한', '작가', '만드는', '데', '부족함', '없었다', '제대로', '교육', '받지는', '못', '했지만', '자연', '으로부터', '모든', '배운', '자연', '아들', '이자', '천재', '였다', '앤', '해서웨이', '결혼', '하여', '딸', '쌍둥이', '남매', '낳았다', '런던', '거주지', '옮겨', '여러', '직업', '전전', '극작가', '성공했으며', '희극', '배우', '활동', '후원자', '사우샘프턴', '백작', '도움', '궁정', '에도', '출입', '하며', '엘리자', '베드', '여왕', '제임스', '새', '후대', '받아', '궁내부', '장관', '극단', '전속', '극작가', '임명', '되었다', '사업', '기질', '물려', '받았는지', '재산', '관리', '에도', '능숙해', '상당한', '부동산', '구입', '하여', '경제', '여유', '웠', '수많은', '희곡', '셰익스피어', '대표', '셰익스피어', '대', '비극', '무어인', '장군', '오셀로', '이아', '고의', '간계', '빠져', '사랑', '아내', '질투', '살해', '비극', '다룬', '오셀로', '대한', '딸', '충성', '시험', '비극', '맞는', '리어왕', '권력', '향', '욕망', '비극', '초래', '맥베스', '대', '비극', '가장', '앞서', '쓰였다는', '햄릿', '죽', '결혼', '클', '로디', '어스', '복수', '과정', '일어나는', '비극', '그렸다', '들여다보는', '깊이', '시선', '셰익스피어', '쓴', '작품', '길고', '긴', '생명', '부여', '끊임없는', '재', '해석', '방증', '많은', '셰익스피어', '그려', '낸', '인물', '파고들고', '해석', '문학', '찾아낼', '모든', '가치', '작품', '엿볼', '대', '초반', '셰익스피어', '집필', '타이', '터스', '안드로', '니', '커', '스', '헨리', '세', '리처드', '세', '런던', '무대', '상연', '되었다', '특히', '헨리', '세는', '공전', '히트', '기록', '대한', '악의', '찬', '비난', '없지', '않았지만', '지날수록', '대학', '교육', '받지', '못', '작가', '셰익스피어', '작품', '인기', '더해', '갔다', '벤', '존슨', '그리스', '로마', '극작가', '견줄', '셰익스피어', '뿐', '이라고', '호평', '하며', '시대', '아니라', '모든', '시대', '이라고', '칭찬', '존', '드라이', '든', '셰익스피어', '가장', '크고', '포괄', '영혼', '이라고', '극찬', '년경', '은퇴', '하여', '고향', '돌아온', '셰익스피어', '대', '저택', '편안한', '여생', '보내다', '연월일', '세', '나이', '서거', '하여', '성', '트리니티', '교회', '안장', '되었다', '셰익스피어', '세계', '최고', '극작가', '로서', '대표', '작품', '으로는', '공연', '소동', '자로', '희극', '로미오', '줄리엣', '햄릿', '맥베스', '오셀로', '리', '왕', '줄리어스', '시저', '안토니', '클레오파트라', '비극', '비롯', '베니스', '상인', '한여름', '밤', '꿈', '헨리', '세', '편의', '비극', '마', '극', '포함', '편의', '희극', '편의', '역사', '극', '비너스', '아도니스', '시집', '소네트', '집도', '남겼다', '작품', '살아생전', '인기', '누렸다']","['셰익스피어', '극', '가운데', '가장', '위대한', '작품', '햄릿', '꼽는다', '면', '맥베스', '길이', '짧으면서도', '단일', '내용', '빠른', '극', '전개', '인해', '가장', '화려하면서도', '대사', '시적', '완성', '높은', '작품', '꼽힌다', '주인공', '맥베스', '마녀', '달콤한', '예언', '아내', '부추김에', '빠져', '왕', '살해', '하는가', '범죄', '목격자', '의심', '죽여야', '상황', '펼쳐지', '기도', '모든', '살해', '해야만', '엄청난', '상황', '치달', '종국', '죽게', '사태', '전개', '된다', '악몽', '으로부터', '탈출', '없으며', '숙명', '존재', '이유', '라고', '말', '듯', '모든', '딛고', '일어서는', '사랑', '빛과', '비극', '숭고함이', '작품', '빛', '내고', '민음사', '세계문학', '전집', '포함', '맥베스', '셰익스피어', '원문', '가장', '충실하다고', '인정받는', '영국', '아든', '판', '리버사이드', '판', '비교', '분석', '하여', '완성', '번역본']"
,,,,11,,[],[]
부자 아빠 가난한 아빠 주년 특별 기념판,로버트 기요사키 안진환,민음인,년 월 일,11,경제 경영,"['재테크', '분야', '고전', '손꼽히는', '부자', '가난한', '시리즈', '세계', '수천만', '돈', '대한', '인식', '바꿔', '놓았다', '사업가', '이자', '교육자', '이며', '나아가', '일자리', '창', '출', '사업가', '필요하다고', '믿는', '투자가', '돈', '투자', '대해', '기존', '통념', '대조', '사고방식', '직설', '화법', '대담한', '태도', '국제', '명성', '떨치고', '돈', '투자', '금융', '경제', '복잡한', '개념', '단순하게', '설명', '놀라운', '재능', '지녔으며', '재정', '자유', '얻게', '여정', '담은', '이야기', '세대', '국적', '초월', '다양한', '독자', '울림', '주었다', '좋은', '일자리', '얻어서', '돈', '모아', '빚', '갚고', '장기', '분산', '투자', '기존', '충고', '한물간', '구식', '이라고', '평', '집은', '자산', '아니다', '현금', '흐름', '얻기', '위해', '투자', '라', '저축', '패배', '주장', '커다란', '논란', '일으켰지만', '가르침', '철학', '지난', '연간', '임', '증명', '되었다', '부자', '가난한', '비롯', '권', '저서', '펴냈으며', '책', '세계', '베스트셀러', '명단', '굳건', '히', '자리', '지키고', '금융', '교육', '회사', '리치', '대드', '컴퍼니', '설립', '많은', '경제', '안정', '가는', '길', '안내', '한편', '언론', '매체', '래', '리', '킹', '라이브', '오프라', '쇼', '비롯', '다양한', '프로그램', '출연', '투자', '경제', '성공', '대한', '해답', '제시']","['세계', '가장', '팔린', '경', '경영', '서', '부자', '가난한', '주년', '기념', '업그레이드', '에디', '션', '출', '간', '세계', '금융', '변화', '맞춘', '개', '코멘트', '토론', '실천', '위', '스터디', '세션', '분량', '내용', '추가', '미국', '출', '간', '세계', '언어', '개국', '출판', '되어', '부국', '부가', '판매', '경제', '경영', '재테크', '분야', '최고', '밀리언셀러', '부자', '가난한', '시리즈', '세월', '검증', '부자', '돈', '투자', '대한', '지침', '오늘날', '시대', '맞춘', '새로운', '정보', '추가', '부자', '가난한', '주년', '특별', '기념', '판이', '민음', '출', '간', '되었다', '지난', '연간', '독자', '가장', '많은', '사랑', '받아', '온', '부자', '가난한', '내용', '세계', '금융', '변화', '맞춘', '개', '토론', '실천', '위', '스터디', '세션', '원고지', '분량', '추가', '업그레이드', '에디', '션', '돈', '대한', '선입관', '깨뜨리는', '파격', '내용', '세월', '흘러도', '변치', '않는', '투자', '원칙', '비트코인', '광풍', '부동산', '경매', '시장', '활기', '다양한', '양상', '투자', '대한', '관심', '높아지고', '오늘날', '에도', '돈', '투자', '흔들리지', '않는', '기준', '되어', '줄', '책', '독자', '파고든', '이유', '돈', '대한', '상식', '뒤집었기', '저자', '가난한', '이유', '돈', '없', '아니라', '돈', '금기', '시', '며', '금융', '지식', '멀리', '사고', '문화', '이라고', '말', '저자', '가난한', '공부', '했지만', '늘', '카드', '대금', '청구', '서', '주택', '융', '자금', '시달렸다', '돈', '좋아하는', '모든', '악의', '근원', '공부', '좋은', '직장', '해야지', '위험', '피하', '안정', '살아라', '반면', '부자', '정규', '교육', '제대로', '받지', '못', '했지만', '금융', '터득', '하여', '막대', '부를', '쌓았다', '돈', '부족한', '모든', '악의', '근원', '공부', '좋은', '회사', '차려', '라', '똑똑한', '고용', '해야', '위험', '관리', '법', '배워야', '책', '저자', '유년', '시절', '겪은', '두', '가난한', '사람과', '부자', '사고방식', '비교', '직설', '화법', '몰입도', '스토리텔링', '경제', '대한', '기초', '상식', '자산', '부채', '개념', '성공', '투자', '위', '금융', '기르는', '비법', '이해', '있도록', '쉽고', '명쾌하게']"
돈으로 살 수 없는 것들,마이클 샌델 안기순 김선욱,와이즈베리,년 월 일,10,사회 정치,"['정의', '열풍', '불러일으켰다', '세', '최연', '소', '하버드', '대학교', '교수', '되었고', '세', '자유', '주의', '이론', '대가', '존', '롤스', '정의론', '비판', '자유', '주의', '정의', '한계', '발표', '세계', '명성', '얻었다', '하버드', '대학교', '정치철학', '가르치고', '있으며', '수업', '학생', '사이', '최고', '명', '강의', '손', '꼽힌다', '존', '롤스', '정의', '분야', '세계', '학자', '인정받는', '명실', '공', '히', '시대', '최고', '석', '학', '이자', '철학', '계', '록스타', '대표', '저서', '정의', '란', '인가', '돈', '없는', '정치', '도덕', '말', '완벽', '대한', '반론', '정의', '한계', '마이클', '샌델', '중국', '만나다는', '중국', '철학', '연구자', '마이클', '샌델', '이론', '저작', '동양', '철학', '분석', '평론', '대한', '샌델', '모은', '동', '서양', '철학', '대화', '살펴봄으로써', '마이클', '샌델', '정의', '새롭게', '경험', '있을']","['시장', '항상', '옳을까', '모든', '사고파는', '사회', '마이클', '샌델', '해부', '돈', '없는', '가치', '결정', '하는가는', '정의', '가로', '화제', '모았던', '마이클', '샌델', '시장', '도덕', '한계', '시', '장지', '주의', '맹점', '대하', '논의', '책', '책', '옥스퍼드대', '강의', '에서부터', '시작', '하여', '봄', '학기', '이름', '하버드', '대학교', '철학', '강의', '개설', '연간', '철저히', '준비']"
 독일어 ,한국외국어대학교 편집부,한국외국어대학교출판부,년 월 일,10,국어 외국어 사전,[],"['외국어', '대학교', '대', '상공회의소', '공동', '시행', '독일어', '시험', '준비', '길잡이', '되도록', '시험', '듣기', '읽기', '말', '쓰기', '안내', '시험', '유형', '분석', '해설', '실전', '문제', '구성']"
처칠 끝없는 투쟁,제바스티안 하프너 안인희,돌베개,년 월 일,10,역사,"['연월일', '독일', '베를린', '태어났다', '본명', '몬트', '프레첼', '대학', '법학', '공부', '법원', '출판사', '하다가', '나치', '폭정', '극', '치닫던', '유대인', '약혼자', '영국', '이민', '언어', '장벽', '가난', '부인', '약혼자', '임신', '이민', '초기', '많은', '어려움', '겪었다', '독일', '남아', '가족', '피해', '우려', '필명', '바스티안', '하프', '저술', '활동', '시작', '필명', '요한', '바스티안', '바흐', '이름', '모차르트', '교향곡', '번의', '곡명', '하프', '조합', '훗날', '하프', '교향곡', '쾨헬', '번호', '자동차', '번호', '쓰기', '하프', '조지', '오웰', '청탁', '서치라이트', '북스', '시리즈', '권', '독일', '공습', '영어', '집필', '출', '간', '한편', '명망', '높은', '언론인', '데이비드', '애스터', '후원', '옵서버', '지에', '기고', '시작', '했으며', '편집장', '자리', '올랐다', '편집장', '물러나', '독일', '돌아왔으며', '베를린', '장벽', '세워질', '줄곧', '옵서버', '지', '베를린', '특파원', '쉰', '넘어서야', '독일', '언론', '위해', '시작', '하프', '디', '벨트', '지에', '글', '썼고', '까지는', '슈테', '지', '칼럼니스트', '베스트셀러', '역사', '교양', '서', '여러', '권', '발표', '했으며', '자유', '베를린', '방송', '텔레비전', '프로그램', '진행', '하기도', '연월일', '떠났다', '하프', '독일', '제국', '성립', '차', '세계대전', '발발', '바이마르', '공화국', '실패', '히틀러', '부상', '몰락', '이르는', '독일', '파란만장한', '근현대사', '놀라운', '통찰', '력', '신선하고', '명료한', '언어', '서술', '대중', '가장', '성공한', '역사', '교양', '서', '작가', '평가', '받는다', '대표', '작', '윈스턴', '처칠', '비스마르크', '히틀러', '독일인', '이야기', '출', '간', '히틀러', '붙이는', '주석', '독일', '가장', '팔린', '히틀러', '책', '기록', '되고']","['모든', '맞선', '단', '윈스턴', '처칠', '투쟁', '점철', '필생', '붙이는', '주석', '독일', '국민', '작가', '바스티안', '하프', '역작', '타고난', '반항', '과격', '분자', '때리면', '때릴수록', '더욱', '깊이', '무는', '불도그', '전쟁', '위해', '태어난', '배우지', '못', '채', '거듭', '거듭', '잔인하게', '맞았다', '배우지', '않았고', '날', '항의', '뜻', '교장', '밀짚모자', '밟았다', '본문', '쪽', '바스티안', '하프', '역작', '처칠', '끝없는', '투쟁', '출', '간', '되었다', '독일', '현', '대사', '부작', '히틀러', '붙이는', '주석', '독일인', '이야기', '비스마르크', '히틀러', '까지에', '이어', '번', '째', '국내', '소개', '책', '세', '책', '달리', '독일', '숙적', '영국', '다룬다', '독일', '국민', '작가', '쓴', '영국', '역사', '독일', '잿더미', '속', '밀어', '넣은', '전쟁', '영웅', '이야기', '기묘함', '바스티안', '하프', '경계', '인적', '정체', '성', '고려', '더없이', '자연스러운', '결과물', '하프', '독일', '베를린', '태어나', '나치', '폭정', '피해', '영국', '망명', '뒤', '옵서버', '편집장', '올랐던', '인물', '독일인', '태어나', '차', '대전', '복판', '영국', '언론', '위해', '했던', '이력', '고려', '하프', '야말로', '처칠', '면적', '조명', '적임', '하프', '원고지', '장', '남짓한', '분량', '이르는', '처칠', '생애', '양', '차', '세계', '대전', '얼룩진', '격동', '세계사', '흥미진진', '압축', '해석', '처칠', '공과', '짚는다', '처칠', '없었다면', '히틀러', '거대', '게르만', '친위대', '국가', '세계', '지배', '했을', '이라고', '천하는', '한편', '처칠', '반', '파시스트', '아니라', '파시스트', '가깝고', '정치인', '으로서는', '이드', '조지나', '네빌', '체임벌린', '비해', '하수', '라고', '냉정하게', '평가', '하프', '처칠', '삶', '투쟁', '얼룩져', '있다고', '말', '기나긴', '투쟁', '가장', '격렬하고', '빛나는', '장면', '두', '말', '필요', '없이', '히틀러', '와의', '대결', '책', '하이라이트', '이룬다', '책', '가운데', '처칠', '비범함이', '차지', '있다면', '끝', '기이할', '미약', '투쟁', '처칠', '자리', '초', '강력', '교육', '기계', '기숙', '잔혹한', '매질', '당하면서도', '배움', '완강', '히', '거부', '하던', '소년', '빛나는', '생', '한가운데', '지나', '있다는', '믿기지', '않는', '살아남아', '우울증', '무료함', '뇌졸중', '투쟁', '서서히', '소멸해', '간다', '늘', '물', '되어', '있었지만', '그야말로', '울보', '되었어', '없나', '본문', '쪽', '장고', '삶', '스산하', '게', '완결', '된다', '책', '말미', '냉전', '상황', '속', '유럽', '정치', '경제', '통합', '초석', '놓고', '세계', '평화', '위해', '분투', '말년', '활약', '상이', '간결하게', '소개', '된다', '처칠', '팩터', '한국어', '판', '지식', '향연', '출', '간하', '기도', '언론인', '출신', '신임', '총리', '보리스', '존슨', '간', '망설임의', '종지부', '찍겠다며', '유럽연합', '탈퇴', '공언', '세계', '통합', '향', '처칠', '비전은', '더욱', '의미', '심장', '게', '읽힐', '독일', '볼트', '출판사', '시리즈', '권', '역사', '도판', '컷', '수록']"
기후 위기와 글로벌 그린 뉴딜,노암 촘스키 로버트 폴린 이종민,현암사,년 월 일,9,사회 정치,"['유대계', '미국', '언어학자', '이자', '철학자', '인지과학자', '사회', '비평가', '이자', '정치', '운동', '가로서도', '활발하게', '활동', '미국', '필라델피아', '러시아', '계', '유대인', '이민', '세로', '태어났다', '펜실베이니아', '대학교', '진학', '뒤', '언어학자', '젤리', '해리스', '만나면서', '언어학', '세계', '발', '디뎠다', '대학', '졸업', '하버드', '대학교', '특별', '연구원', '있으면서', '펜실베이니아', '대학교', '박사', '학위', '받았다에서', '연세', '부교수', '연세', '종신교수', '연세', '석좌교수', '연세', '인스티튜트', '프로페', '서', '독립', '학문', '기관', '대우', '교수', '논문', '편', '저서', '권', '발표', '언어학', '명예', '교수', '변형생성문법', '이론', '창시자', '로서', '세기', '언어학', '가장', '중요한', '공헌', '학자', '꼽힌다', '언어학', '뿐', '아니라', '철학', '사상사', '당대', '이슈', '국제', '문제', '미국', '외교', '정책', '다양한', '분야', '관해', '글', '쓰고', '강의', '해왔다', '놈', '촘스키', '언어학자', '이자', '인지과학', '혁명', '주역', '명성', '누리는', '데', '머물지', '않았다', '젊은', '시절', '약자', '편', '서서', '사회', '운동', '적극', '참여', '해왔다', '지식인', '책무', '발표', '세계', '지식인', '양심', '경종', '울린', '여든', '넘긴', '오늘날', '시대', '양심', '이자', '행동', '지식인', '세계', '민중', '거대', '다국적기업', '주도하는', '신', '자유', '주의', '세계', '질서', '미국', '제국주의', '자본', '언론', '장악', '프로파간다', '신랄하게', '파헤친다', '주요', '저서', '로는', '촘스키', '지배', '하는가', '외', '에도', '미국', '진정', '원하는', '비밀', '거짓말', '민주주의', '공공', '선', '위', '하여', '촘스키', '향연', '촘스키', '사상', '향연', '촘스키', '고뇌', '땅', '레바논', '서다', '촘스키', '러셀', '말', '촘스키', '푸코', '본성', '말', '숙명', '트라이앵글', '지식인', '책무', '여론조작', '통사', '구조', '언어', '이론', '논리', '구조', '국내', '번역', '저서', '촘스키', '통사', '구조', '촘스키', '사상', '향연', '이란', '존재', '인가', '불평등', '이유', '파멸', '전야']","['문명', '위', '생존', '지침', '서', '사회', '참여', '지식인', '놈', '촘스키', '진보', '경제학자', '로버트', '폴린', '기후', '위기', '방치', '초래', '될', '파국', '결말', '경고', '변화', '위', '현실', '청사진', '그린', '뉴딜', '제안', '녹색', '경', '제로', '전환', '인해', '경', '난', '실업', '발생', '거', '잘', '못', '주장', '반박', '하며', '두려움', '기후변화', '부정', '론', '부추기는지도', '보여준다', '인류', '화석연료', '태우는', '멈춰야', '하며', '동시', '노동자', '생활수준', '향상', '기회', '늘리는', '방식', '이를', '이행', '해야', '그린', '뉴딜', '목표', '저자', '분명히', '밝히듯', '전적', '실현', '가능한', '목표', '기후', '위기', '간과', '해서는', '안', '될', '긴급', '사태', '책', '정치', '경제', '이를', '극복', '방안', '시한']"
국가 간의 정치 ,한스 모겐소 엄태암 이호재,김영사,년 월 일,9,사회 정치,"['국제', '정치학', '세계', '권위자', '이자', '전적', '현실', '주의', '정치학', '거장', '손꼽히는', '독일', '출신', '미국', '정치학자', '독일', '코', '부르', '크에서', '태어나', '연대', '후반', '나치즘', '위협', '피하', '미국', '망명', '은퇴', '시카고', '대학교', '교수', '지냈다', '이상주의', '국제', '평화', '관리', '지배', '이던', '미국', '정치학', '계', '정치', '권력', '다툼', '경합', '파악', '철저한', '현실', '주의', '관점', '정립', '현실', '주의', '국제', '정치', '관', '이라는', '현대', '의미', '인식', '체계', '뿌리', '내리도록', '했으며', '미국', '국제', '정치학', '세계', '영향력', '행사', '계기', '마련', '이로써', '미국', '외교', '정책', '국가', '간의', '관계', '권력정치', '현상', '유지', '동맹', '세력', '균형', '현실', '주의', '개념', '인식', '철학', '바탕', '설계', '되었고', '근간', '흔들리지', '않고', '대표', '작', '이자', '학문', '정수', '평가', '받고', '국가', '간의', '정치', '초판', '출', '간', '미국', '세계', '가장', '읽힌', '국제', '정치학', '교과서', '손꼽히고', '있으며', '주장', '현실', '주의', '국제', '정치', '이론', '가장', '지배', '이론', '자리매', '김', '밖', '저서', '로는', '세기', '정치학', '권력', '진실']","['정치학', '거장', '한스', '겐소', '국제', '정치', '본질', '명쾌하게', '설명', '책', '책', '급변', '국제', '정세', '숨', '가쁘', '게', '전개', '다양한', '안보', '현안', '실체', '꿰뚫는', '탁월한', '통찰', '선구자', '혜안', '세계대전', '미국', '외교', '정책', '근간', '현실', '주의', '국제', '정치', '기틀', '확립', '하며', '정치학', '바이블', '손꼽히고', '저자', '책', '시대', '뛰어넘는', '해박', '외교', '사적', '지식', '분야', '넘나', '드는', '폭넓은', '시선', '권력정치', '파괴', '평화', '회복하기', '위', '인류', '오랜', '노력', '결과', '고스', '란', '히', '담아', '냈다']"
채식주의자,한강,창비,년 월 일,9,소설시희곡,"['늦은', '태어났다', '연세대', '국문과', '졸업', '뒤', '문학', '사회', '시를', '발표', '이듬해', '신문', '신춘문예', '단편소설', '붉은', '닻', '당선', '되어', '작품', '활동', '시작', '장편소설', '검은', '사슴', '그대', '차가운', '손', '채식주의자', '바람', '분다', '가라', '희랍어', '소년', '온다', '소설', '집', '여수', '사랑', '열매', '노랑', '무늬', '영원', '시집', '서랍', '저녁', '넣어', '두었다', '만해문학상', '황순원문학상', '동리', '문학상', '이상문학상', '젊은', '예술가', '소설', '문학상', '수상했다', '한편', '출', '간', '채식주의자', '판', '출', '간', '대한', '호평', '기사', '뉴욕타임스', '여러', '언론', '소개', '되고', '맨', '부', '커', '인터내셔널', '수상하며', '폭력', '성과', '존엄', '질문', '던지는', '한강', '작품', '대한', '국내외', '관심', '높아지고', '만해문학상', '수상작', '소년', '온다의', '해외', '번역', '판권', '개국', '팔리며', '국문학', '활기', '해주고']","['인터내셔널', '부', '커', '산클레멘테', '문학상', '수상', '작전', '세계', '주목', '한강', '역작', '다시', '만나다', '인터내셔널', '부', '커', '수상하며', '국문학', '입지', '단계', '확장', '시킨', '한강', '장편소설', '채식주의자', '만에', '새로운', '장정', '선보인다', '상처', '받은', '영혼', '고통', '식물', '상상력', '강렬한', '결합', '정교한', '구성', '흡인', '력', '문체', '보여주는', '작품', '섬뜩한', '아름다', '움', '미학', '한강', '만의', '방식', '완성', '역작', '탄탄하고', '정교하며', '충격', '작품', '독자', '마음', '아마도', '꿈', '오래도록', '머물', '이라는', '평', '받으며', '인터내셔널', '부', '커', '수상했던', '채식주의자', '미국', '문학계', '파문', '일으키면서도', '독자', '공명', '보인다', '뉴욕타임스', '놀라울', '아름다운', '산문', '믿을', '없을', '폭력', '내용', '조합', '충격', '가디언', '크라는', '해외', '서평', '받았고', '스페인', '산클레멘테', '문학상', '받는', '세계', '뜨거운', '반응', '일으켰다', '국내', '부', '가까이', '판매', '되었다', '채식주의자', '날', '육식', '거부', '하며', '가족', '갈등', '빚기', '시작', '영혜', '중심', '인물', '등장', '장편소설', '소설', '영혜', '둘러싼', '세', '인물', '남편', '형부', '시선', '서술', '되며', '영혜', '단', '번', '주도', '화', '위치', '얻지', '못', '가족', '이름', '자행', '가부장', '폭력', '폭력', '저항', '하며', '금식', '동물성', '벗어던지고', '나무', '되고자', '영혜', '보여주는', '식물', '상상력', '경지', '모든', '세대', '독자', '아우르며', '크나큰', '공명', '이루어', '낼']"
바벨탑에 도전한 사나이,르네 쌍타씨,한국외국어대학교출판부,년 월 일,9,인문,"['르', '쌍마', '씨', '프랑스', '통신사', '편집', '부장', '이었고', '앙리', '마송', '세계', '무', '민족성', '협회', '후원', '회의', '사무', '총장']","['책', '언어', '차이', '무너진', '바벨탑', '건설', '하여', '언어', '통', '사랑', '평화', '충만', '세계', '건설', '데', '헌신', '휴머니스트', '자멘호프', '감동', '이야기', '국제화', '시대', '세계', '언어', '문제', '민족', '초월', '인류', '애', '중립', '국제', '공통', '에스페란토', '서', '실천', '문제', '한다에', '스페란', '토', '창안', '루', '비코', '라자로', '자멘호프', '손자', '루이', '크리스토퍼', '잘레', '스키', '자멘호프', '박사', '특별', '기', '고문', '책', '의의', '한층', '더하게']"
